,Type,Duration,Calories,@totalEnergyBurnedUnit,Date,WorkoutRoute
231,Walk,31.11350610057513,129.4360000000002,Cal,2021-01-28 17:59:57,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-28 17:59:59 -0400'), ('@startDate', '2021-01-28 17:29:59 -0400'), ('@endDate', '2021-01-28 17:52:29 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', 'F9048D04-698F-44B1-AE79-65B9787F2679')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-28_4.52pm.gpx')]))])"
232,Walk,10.91217870116234,86.40546234072613,Cal,2021-01-28 22:18:58,
233,Strength,42.72730676730474,224.3879643749926,Cal,2021-01-29 08:43:05,
234,Walk,12.48980441490809,54.32515009039241,Cal,2021-01-29 19:03:35,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-29 19:03:35 -0400'), ('@startDate', '2021-01-29 18:51:10 -0400'), ('@endDate', '2021-01-29 19:03:32 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', 'A80AC8F2-889A-45B1-80E1-C3FE552B049B')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-29_6.03pm.gpx')]))])"
235,Walk,21.92679136594137,71.36126633495383,Cal,2021-01-29 19:25:54,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-29 19:25:55 -0400'), ('@startDate', '2021-01-29 19:03:56 -0400'), ('@endDate', '2021-01-29 19:25:51 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', 'EDAF8B49-6A9B-4554-AFDD-D1D47BD0739D')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-29_6.25pm.gpx')]))])"
236,Walk,58.13654406666755,340.2139203900045,Cal,2021-01-30 22:39:44,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-30 22:39:46 -0400'), ('@startDate', '2021-01-30 21:41:35 -0400'), ('@endDate', '2021-01-30 22:39:42 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '8EBA4783-3EF0-4AD0-A197-4731EB5877D4')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-30_9.39pm.gpx')]))])"
237,Strength,45.41553204854329,408.1302914218842,Cal,2021-01-31 15:57:46,
238,Walk,12.05198863347371,88.60033576877296,Cal,2021-02-01 11:50:27,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-02-01 11:50:28 -0400'), ('@startDate', '2021-02-01 11:38:22 -0400'), ('@endDate', '2021-02-01 11:46:38 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '979B7390-720A-418F-9FAD-8808ACFC3365')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-02-01_10.46am.gpx')]))])"
239,Walk,65.55989588300388,326.044189280836,Cal,2021-02-02 18:17:51,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-02-02 18:17:53 -0400'), ('@startDate', '2021-02-02 17:12:18 -0400'), ('@endDate', '2021-02-02 18:17:48 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', 'C65FD364-503B-4E11-974F-F71A167827D1')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-02-02_5.17pm.gpx')]))])"
240,Run,3.28019601504008,27.35899999999999,Cal,2021-02-03 18:18:44,
241,Run,19.53288483421008,257.1725220704395,Cal,2021-02-03 19:31:23,
242,Walk,28.31755158305168,171.7290076508534,Cal,2021-02-04 16:19:11,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-02-04 16:19:12 -0400'), ('@startDate', '2021-02-04 15:50:58 -0400'), ('@endDate', '2021-02-04 16:19:07 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '4FC523ED-212F-4A28-85EE-896701F7E36B')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-02-04_3.19pm.gpx')]))])"
243,Walk,40.19937943418821,233.1738042797658,Cal,2021-02-04 17:42:14,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-02-04 17:42:15 -0400'), ('@startDate', '2021-02-04 17:02:03 -0400'), ('@endDate', '2021-02-04 17:42:11 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '18E374B1-F14C-42B1-8241-D087BCBCECB0')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-02-04_4.42pm.gpx')]))])"
244,Walk,13.44120003183683,93.39993871952036,Cal,2021-02-05 11:46:23,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-02-05 11:46:24 -0400'), ('@startDate', '2021-02-05 11:34:08 -0400'), ('@endDate', '2021-02-05 11:45:37 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', 'A0E4E150-E072-4979-B8F2-AD14631C1169')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-02-05_10.45am.gpx')]))])"
245,Walk,30.68453332980474,142.9982470443826,Cal,2021-02-05 13:21:06,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-02-05 13:21:07 -0400'), ('@startDate', '2021-02-05 13:00:30 -0400'), ('@endDate', '2021-02-05 13:07:07 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '4F38A286-DDE7-4AE8-A2B7-9015F5710AC7')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-02-05_12.07pm.gpx')]))])"
246,Walk,17.48897026578585,116.0987565153766,Cal,2021-02-07 21:36:00,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-02-07 21:36:01 -0400'), ('@startDate', '2021-02-07 21:20:05 -0400'), ('@endDate', '2021-02-07 21:32:25 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '6EEBEB8A-EB87-476B-B0AD-2021DF3A0714')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-02-07_8.32pm.gpx')]))])"
247,Walk,37.05972603360812,185.4031449447905,Cal,2021-02-07 23:21:30,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-02-07 23:21:32 -0400'), ('@startDate', '2021-02-07 22:45:53 -0400'), ('@endDate', '2021-02-07 23:16:39 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '8B8ABAA1-00A1-42D9-9BF6-F1063691CE20')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-02-07_10.16pm.gpx')]))])"
248,Walk,19.21951446533203,105.695865266844,Cal,2021-02-08 11:53:57,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-02-08 11:53:58 -0400'), ('@startDate', '2021-02-08 11:36:35 -0400'), ('@endDate', '2021-02-08 11:53:54 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '596B210F-C270-47E3-AFC0-3CE7B9B3D9D3')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-02-08_10.53am.gpx')]))])"
